timestamp,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness,day_of_week,year,month,hour,day_of_week_encoded
2023-10-14 17:31:00,69,20,13,36,81,64,0.0600255427841634,Saturday,2023,10,17,2
2023-10-14 20:45:30,79,21,14,44,124,60,0.1072298943948009,Saturday,2023,10,20,2
2023-10-14 21:32:00,79,19,22,38,139,67,0.0976303317535545,Saturday,2023,10,21,2
2023-10-15 13:18:30,73,17,21,35,83,64,0.0858960763520678,Sunday,2023,10,13,3
2023-10-15 13:19:00,79,21,24,34,84,61,0.0544412607449856,Sunday,2023,10,13,3
2023-10-15 13:30:00,73,16,22,35,77,69,0.0809248554913294,Sunday,2023,10,13,3
2023-10-15 13:37:00,79,22,22,35,75,49,0.0883905013192612,Sunday,2023,10,13,3
2023-10-15 13:44:00,80,21,20,39,59,56,0.0580204778156996,Sunday,2023,10,13,3
2023-10-15 14:06:30,72,16,21,35,8,51,0.0916552667578659,Sunday,2023,10,14,3
2023-10-15 14:08:00,79,18,19,42,79,47,0.0425985090521831,Sunday,2023,10,14,3
2023-10-15 14:15:30,86,22,23,41,123,67,0.0855130784708249,Sunday,2023,10,14,3
2023-10-15 14:38:30,78,21,19,38,44,64,0.0752565564424173,Sunday,2023,10,14,3
2023-10-15 14:53:00,80,21,21,38,98,59,0.081145584725537,Sunday,2023,10,14,3
2023-10-15 15:38:00,76,16,19,41,46,53,0.0959040959040959,Sunday,2023,10,15,3
2023-10-15 15:42:30,74,16,22,36,74,57,0.0524152106885919,Sunday,2023,10,15,3
2023-10-15 18:29:00,73,17,21,35,87,62,0.1071744906997342,Sunday,2023,10,18,3
2023-10-15 21:53:30,77,18,20,39,106,68,0.1470860314523589,Sunday,2023,10,21,3
2023-10-16 11:45:00,64,16,16,32,39,62,0.1121693121693121,Monday,2023,10,11,1
2023-10-16 13:34:00,73,18,19,36,89,66,0.0790378006872852,Monday,2023,10,13,1
2023-10-16 13:49:00,67,20,13,34,43,50,0.0853146853146853,Monday,2023,10,13,1
2023-10-16 13:57:30,80,21,19,40,36,48,0.1364175563463819,Monday,2023,10,13,1
2023-10-16 14:14:00,77,20,21,36,92,65,0.0963488843813387,Monday,2023,10,14,1
2023-10-16 14:51:00,76,17,20,39,73,47,0.0714985308521057,Monday,2023,10,14,1
2023-10-16 15:00:30,74,20,19,35,71,58,0.0954712362301101,Monday,2023,10,15,1
2023-10-16 15:08:30,79,21,14,44,87,64,0.103030303030303,Monday,2023,10,15,1
2023-10-16 15:19:00,66,16,13,37,74,52,0.1134020618556701,Monday,2023,10,15,1
2023-10-16 15:38:00,89,21,22,46,67,57,0.0592044403330249,Monday,2023,10,15,1
2023-10-16 16:48:00,88,21,22,45,132,56,0.052064631956912,Monday,2023,10,16,1
2023-10-16 20:31:30,73,18,21,34,92,67,0.103030303030303,Monday,2023,10,20,1
2023-10-16 21:00:00,80,18,19,43,68,60,0.1252918287937743,Monday,2023,10,21,1
2023-10-17 12:21:00,78,20,16,42,77,64,0.1269841269841269,Tuesday,2023,10,12,5
2023-10-17 13:13:00,65,16,17,32,62,47,0.1610738255033557,Tuesday,2023,10,13,5
2023-10-17 13:28:30,62,17,13,32,51,67,0.0827679782903663,Tuesday,2023,10,13,5
2023-10-17 13:29:30,75,17,20,38,66,65,0.0730538922155688,Tuesday,2023,10,13,5
2023-10-17 13:58:00,81,20,21,40,77,60,0.0774869109947644,Tuesday,2023,10,13,5
2023-10-17 14:01:00,74,18,18,38,39,53,0.0733727810650887,Tuesday,2023,10,14,5
2023-10-17 14:15:00,76,21,17,38,76,63,0.1138040042149631,Tuesday,2023,10,14,5
2023-10-17 14:23:00,84,21,21,42,59,57,0.0536246276067527,Tuesday,2023,10,14,5
2023-10-17 14:34:30,66,16,21,29,45,59,0.1095505617977528,Tuesday,2023,10,14,5
2023-10-17 15:00:30,73,18,14,41,70,53,0.1015544041450777,Tuesday,2023,10,15,5
2023-10-17 15:09:00,86,22,22,42,105,59,0.0743380855397148,Tuesday,2023,10,15,5
2023-10-17 15:28:00,67,17,14,36,71,47,0.056152927120669,Tuesday,2023,10,15,5
2023-10-17 16:52:30,85,22,22,41,105,55,0.056547619047619,Tuesday,2023,10,16,5
2023-10-17 20:24:00,72,17,19,36,93,67,0.1661409043112513,Tuesday,2023,10,20,5
2023-10-18 13:28:30,77,19,16,42,45,62,0.1583924349881796,Wednesday,2023,10,13,6
2023-10-18 13:46:00,70,18,18,34,32,52,0.0942126514131897,Wednesday,2023,10,13,6
2023-10-18 13:57:30,84,19,23,42,59,55,0.0584795321637426,Wednesday,2023,10,13,6
2023-10-18 14:06:00,72,17,13,42,87,64,0.0710607621009268,Wednesday,2023,10,14,6
2023-10-18 14:12:00,85,21,23,41,82,60,0.073015873015873,Wednesday,2023,10,14,6
2023-10-18 14:15:30,58,13,17,28,27,47,0.1820388349514563,Wednesday,2023,10,14,6
2023-10-18 14:17:00,80,22,17,41,93,63,0.0964824120603015,Wednesday,2023,10,14,6
2023-10-18 14:51:00,86,22,21,43,89,49,0.0455991516436903,Wednesday,2023,10,14,6
2023-10-18 14:55:30,69,20,13,36,91,58,0.0795072788353863,Wednesday,2023,10,14,6
2023-10-18 15:18:30,73,17,15,41,63,55,0.0827447023208879,Wednesday,2023,10,15,6
2023-10-18 15:36:00,86,22,18,46,93,69,0.1042611060743427,Wednesday,2023,10,15,6
2023-10-18 16:17:00,84,21,20,43,121,55,0.0829769033361847,Wednesday,2023,10,16,6
2023-10-18 16:39:30,83,19,22,42,90,59,0.0841683366733467,Wednesday,2023,10,16,6
2023-10-18 18:12:00,74,18,21,35,95,68,0.1028901734104046,Wednesday,2023,10,18,6
2023-10-19 12:39:00,75,23,15,37,112,61,0.1146496815286624,Thursday,2023,10,12,4
2023-10-19 12:51:30,67,17,17,33,68,55,0.0645645645645645,Thursday,2023,10,12,4
2023-10-19 13:40:00,68,18,21,29,67,54,0.0785634118967452,Thursday,2023,10,13,4
2023-10-19 14:01:00,66,17,14,35,41,52,0.0939597315436241,Thursday,2023,10,14,4
2023-10-19 14:19:30,71,21,14,36,82,64,0.1112299465240641,Thursday,2023,10,14,4
2023-10-19 14:23:00,74,21,17,36,38,47,0.182237600922722,Thursday,2023,10,14,4
2023-10-19 14:29:30,74,21,17,36,76,67,0.0980834272829763,Thursday,2023,10,14,4
2023-10-19 14:38:30,70,18,17,35,25,60,0.0988505747126436,Thursday,2023,10,14,4
2023-10-19 14:45:00,62,15,12,35,65,66,0.094384707287933,Thursday,2023,10,14,4
2023-10-19 14:45:30,81,21,23,37,76,61,0.0653206650831353,Thursday,2023,10,14,4
2023-10-19 14:47:00,84,21,21,42,46,49,0.0530697190426638,Thursday,2023,10,14,4
2023-10-19 15:38:00,71,17,19,35,66,56,0.1045685279187817,Thursday,2023,10,15,4
2023-10-19 16:48:00,81,20,21,40,70,58,0.1187669990933816,Thursday,2023,10,16,4
2023-10-19 22:01:30,83,20,19,44,129,68,0.1432246998284734,Thursday,2023,10,22,4
2023-10-20 12:13:00,71,22,14,35,96,61,0.1093117408906882,Friday,2023,10,12,0
2023-10-20 13:44:30,81,20,20,41,44,61,0.0723618090452261,Friday,2023,10,13,0
2023-10-20 14:18:30,71,16,18,37,74,53,0.1027918781725888,Friday,2023,10,14,0
2023-10-20 15:33:30,80,23,19,38,114,59,0.0549828178694158,Friday,2023,10,15,0
2023-10-20 15:43:00,82,17,21,44,54,54,0.0727595385980479,Friday,2023,10,15,0
2023-10-20 16:00:00,75,21,16,38,94,69,0.0756123535676251,Friday,2023,10,16,0
2023-10-20 16:10:00,74,17,18,39,76,68,0.0721205597416577,Friday,2023,10,16,0
2023-10-20 16:25:00,79,21,16,42,55,48,0.169774288518155,Friday,2023,10,16,0
2023-10-20 16:56:00,79,19,16,44,112,66,0.1207048458149779,Friday,2023,10,16,0
2023-10-20 17:02:00,85,23,21,41,113,57,0.0921919096895578,Friday,2023,10,17,0
2023-10-20 18:26:30,79,16,18,45,61,55,0.068308181096108,Friday,2023,10,18,0
2023-10-20 19:11:00,78,22,12,44,90,58,0.1452031114952463,Friday,2023,10,19,0
2023-10-20 20:26:30,66,15,22,29,21,49,0.0783783783783783,Friday,2023,10,20,0
2023-10-20 21:44:00,74,18,19,37,103,68,0.132429614181439,Friday,2023,10,21,0
2023-10-21 10:18:00,62,20,14,28,41,47,0.0551724137931034,Saturday,2023,10,10,2
2023-10-21 13:34:00,82,22,18,42,94,62,0.121726822363765,Saturday,2023,10,13,2
2023-10-21 14:27:00,74,18,19,37,46,61,0.0925714285714285,Saturday,2023,10,14,2
2023-10-21 15:58:00,69,20,16,33,63,60,0.0938547486033519,Saturday,2023,10,15,2
2023-10-21 16:24:00,80,20,19,41,55,53,0.0736949846468782,Saturday,2023,10,16,2
2023-10-21 16:28:30,83,19,19,45,116,67,0.0956521739130434,Saturday,2023,10,16,2
2023-10-21 16:34:00,65,16,14,35,32,54,0.0571428571428571,Saturday,2023,10,16,2
2023-10-21 17:09:00,48,16,12,20,51,56,0.0973451327433628,Saturday,2023,10,17,2
2023-10-21 17:09:30,58,19,13,26,20,48,0.0687830687830687,Saturday,2023,10,17,2
2023-10-21 18:07:00,60,14,12,34,31,55,0.0827586206896551,Saturday,2023,10,18,2
2023-10-21 18:40:00,86,22,19,45,99,70,0.1005586592178771,Saturday,2023,10,18,2
2023-10-21 18:58:30,77,17,21,39,34,47,0.0429252782193958,Saturday,2023,10,18,2
2023-10-21 19:20:00,64,16,13,35,49,67,0.1140065146579804,Saturday,2023,10,19,2
2023-10-21 20:28:00,79,19,21,39,93,59,0.1207056638811513,Saturday,2023,10,20,2
2023-10-21 22:11:00,77,18,21,38,108,69,0.1067235859124866,Saturday,2023,10,22,2
2023-10-22 14:00:00,85,21,22,42,81,69,0.1093901258470474,Sunday,2023,10,14,3
2023-10-22 14:09:30,71,14,21,36,22,53,0.0854341736694677,Sunday,2023,10,14,3
2023-10-22 14:10:00,82,20,21,41,58,47,0.124860646599777,Sunday,2023,10,14,3
2023-10-22 14:29:30,72,20,14,38,65,65,0.0814814814814814,Sunday,2023,10,14,3
2023-10-22 14:57:30,66,16,20,30,36,70,0.1100811123986095,Sunday,2023,10,14,3
2023-10-22 14:59:00,84,22,21,41,84,59,0.0623700623700623,Sunday,2023,10,14,3
2023-10-22 15:17:00,77,15,22,40,39,59,0.0798786653185035,Sunday,2023,10,15,3
2023-10-22 15:18:30,78,19,23,36,35,60,0.0886814469078179,Sunday,2023,10,15,3
2023-10-22 15:23:00,91,22,22,47,73,55,0.0643974241030358,Sunday,2023,10,15,3
2023-10-22 16:11:30,68,16,19,33,70,62,0.1175059952038369,Sunday,2023,10,16,3
2023-10-22 16:23:00,89,19,24,46,92,59,0.0505130228887134,Sunday,2023,10,16,3
2023-10-22 16:30:00,74,21,22,31,51,59,0.0894085281980742,Sunday,2023,10,16,3
2023-10-22 22:16:00,75,18,21,36,102,68,0.126865671641791,Sunday,2023,10,22,3
2023-10-23 07:51:30,65,15,15,35,19,50,0.0569800569800569,Monday,2023,10,7,1
2023-10-23 13:01:00,78,21,21,36,54,61,0.0622568093385214,Monday,2023,10,13,1
2023-10-23 13:31:00,66,15,19,32,41,52,0.1345895020188425,Monday,2023,10,13,1
2023-10-23 14:03:30,74,20,20,34,46,45,0.0974421437271619,Monday,2023,10,14,1
2023-10-23 14:12:00,86,21,22,43,59,54,0.0519337016574585,Monday,2023,10,14,1
2023-10-23 14:17:00,83,23,21,39,114,67,0.0912659470068694,Monday,2023,10,14,1
2023-10-23 14:41:30,84,20,22,42,60,66,0.0718503937007874,Monday,2023,10,14,1
2023-10-23 14:45:00,79,21,19,39,72,69,0.1077441077441077,Monday,2023,10,14,1
2023-10-23 15:07:00,79,17,19,43,106,61,0.0979342004590665,Monday,2023,10,15,1
2023-10-23 15:07:30,81,18,21,42,57,57,0.0609884332281808,Monday,2023,10,15,1
2023-10-23 15:16:30,81,24,21,36,128,57,0.0808561236623067,Monday,2023,10,15,1
2023-10-23 16:13:00,87,20,21,46,102,56,0.0543187889581478,Monday,2023,10,16,1
2023-10-23 17:50:00,70,19,16,35,96,59,0.1174668028600612,Monday,2023,10,17,1
2023-10-23 22:24:30,80,20,21,39,112,68,0.110576923076923,Monday,2023,10,22,1
2023-10-24 13:30:30,71,18,14,39,53,64,0.0616686819830713,Tuesday,2023,10,13,5
2023-10-24 13:35:00,68,19,15,34,58,62,0.1111111111111111,Tuesday,2023,10,13,5
2023-10-24 13:43:30,78,16,20,42,43,53,0.0623115577889447,Tuesday,2023,10,13,5
2023-10-24 13:55:30,75,16,22,37,27,51,0.0816077953714981,Tuesday,2023,10,13,5
2023-10-24 13:57:00,74,19,19,36,63,45,0.1395076201641266,Tuesday,2023,10,13,5
2023-10-24 14:40:00,83,22,19,42,99,65,0.1153439153439153,Tuesday,2023,10,14,5
2023-10-24 14:46:30,79,20,23,36,74,61,0.0818385650224215,Tuesday,2023,10,14,5
2023-10-24 15:19:00,67,15,25,27,31,51,0.0153846153846153,Tuesday,2023,10,15,5
2023-10-24 15:28:00,76,17,18,41,63,55,0.0753221010901883,Tuesday,2023,10,15,5
2023-10-24 15:50:00,81,21,20,40,81,56,0.0691699604743083,Tuesday,2023,10,15,5
2023-10-24 16:16:00,80,22,15,43,100,69,0.1254019292604501,Tuesday,2023,10,16,5
2023-10-24 16:23:30,78,23,21,34,116,55,0.0840336134453781,Tuesday,2023,10,16,5
2023-10-24 16:33:00,89,23,21,45,128,61,0.0974137931034482,Tuesday,2023,10,16,5
2023-10-24 18:04:00,57,15,21,21,58,66,0.1059245960502693,Tuesday,2023,10,18,5
2023-10-25 12:42:00,77,20,20,37,76,63,0.0633333333333333,Wednesday,2023,10,12,6
2023-10-25 13:17:00,88,22,24,42,109,51,0.0323928944618599,Wednesday,2023,10,13,6
2023-10-25 13:37:00,76,19,18,39,43,66,0.0716803760282021,Wednesday,2023,10,13,6
2023-10-25 13:44:30,78,18,22,38,110,56,0.0412371134020618,Wednesday,2023,10,13,6
2023-10-25 13:59:00,70,14,22,34,25,51,0.0817369093231162,Wednesday,2023,10,13,6
